POC,"Pos(x,y)",Block_size(w*h),SplitSeries
0,"112,40",4*4,72483873
0,"116,36",8*8,5375009
0,"124,36",4*4,72483873
0,"124,40",4*4,72483873
0,"112,44",4*4,103941153
0,"116,44",4*4,103941153
0,"120,44",4*4,103941153
0,"124,44",4*4,103941153
0,"96,48",4*4,103941153
0,"100,48",4*4,103941153
0,"104,48",8*4,3277857
0,"96,52",8*4,70386721
0,"96,56",8*4,70386721
0,"104,52",8*4,70386721
0,"104,56",8*4,70386721
0,"96,60",8*4,3277857
0,"104,60",4*4,103941153
0,"108,60",4*4,103941153
0,"112,48",8*8,3212321
0,"120,48",8*8,3212321
0,"112,56",4*8,5309473
0,"116,56",8*8,5309473
0,"124,56",4*8,5309473
0,"0,64",4*4,104956961
0,"4,64",4*4,104956961
0,"0,68",8*8,4293665
0,"0,76",4*4,104956961
0,"4,76",4*4,104956961
0,"8,64",4*8,70353953
0,"8,72",4*8,70353953
0,"12,64",4*16,3245089
0,"16,64",8*4,69305377
0,"16,68",8*4,69305377
0,"16,72",4*8,102859809
0,"20,72",4*8,102859809
0,"24,64",4*4,137462817
0,"24,68",4*8,137462817
0,"24,76",4*4,137462817
0,"28,64",4*16,3245089
0,"0,80",4*16,164897
0,"4,80",8*16,164897
0,"12,80",4*4,4359201
0,"12,84",4*8,4359201
0,"12,92",4*4,4359201
0,"16,80",8*8,33825
0,"24,80",4*4,70288417
0,"24,84",4*4,70288417
0,"28,80",4*8,3179553
0,"16,88",4*4,70288417
0,"16,92",4*4,70288417
0,"20,88",4*4,70288417
0,"20,92",4*4,70288417
0,"24,88",4*8,3179553
0,"28,88",4*8,3179553
0,"32,64",8*8,2196513
0,"32,72",8*8,2196513
0,"40,64",4*8,70353953
0,"40,72",4*8,70353953
0,"44,64",4*4,137462817
0,"44,68",4*8,137462817
0,"44,76",4*4,137462817
0,"48,64",8*4,69305377
0,"48,68",8*4,69305377
0,"48,72",4*8,102859809
0,"52,72",4*8,102859809
0,"56,64",8*4,4293665
0,"56,68",4*8,104956961
0,"60,68",4*8,104956961
0,"56,76",8*4,4293665
0,"32,80",4*8,5309473
0,"36,80",8*4,72418337
0,"36,84",8*4,72418337
0,"44,80",4*4,72418337
0,"44,84",4*4,72418337
0,"32,88",4*4,169935905
0,"36,88",8*4,169935905
0,"44,88",4*4,169935905
0,"32,92",4*4,169935905
0,"36,92",8*4,169935905
0,"44,92",4*4,169935905
0,"48,80",8*4,3277857
0,"56,80",4*4,103941153
0,"60,80",4*4,103941153
0,"48,84",4*4,72483873
0,"48,88",4*4,72483873
0,"52,84",8*4,72483873
0,"52,88",8*4,72483873
0,"60,84",4*8,5375009
0,"48,92",4*4,103941153
0,"52,92",4*4,103941153
0,"56,92",8*4,3277857
0,"0,96",8*8,3212321
